Active?,Calculation4,Country,Dt Customer,Education,ID,Marital Status,Num Web Visits Month,Year Birth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Calculation1,Calculation2,Camp 1 %,Camp 2 %,Camp 3%,Camp 4 %,CAmp 5 %,color,Complain,F1,Income,Kidhome,Mnt Fish Products,Mnt Fruits,Mnt Gold Prods,Mnt Meat Products,Mnt Sweet Products,Mnt Wines,Num Catalog Purchases,Num Deals Purchases,Num Store Purchases,Num Web Purchases,Recency,Response,Teenhome
Active,okay,Spain,16-06-2014,Bachelor's Degree,1826,Divorced,1,1970,0,0,0,0,0,0.000724788,1,0,0,0,0,0,col,0,0,84835,0,111,104,218,379,189,189,4,1,6,4,0,1,0
Active,okay,Canada,15-06-2014,Bachelor's Degree,1,Single,5,1961,0,1,0,0,0,0.000487757,1,0,0.000446429,0,0,0,col,0,1,57091,0,7,5,37,64,0,464,3,1,7,7,0,1,0
Active,okay,USA,13-05-2014,Bachelor's Degree,10476,Married,2,1958,0,0,0,0,0,0.000574696,1,0,0,0,0,0,col,0,2,67267,0,15,11,30,59,2,134,2,1,5,3,0,0,1
Active,okay,Australia,11-05-2014,Bachelor's Degree,1386,Together,7,1967,0,0,0,0,0,0.000277442,1,0,0,0,0,0,col,0,3,32474,1,0,0,0,1,0,10,0,1,2,1,0,0,1
Active,okay,Spain,08-04-2014,Bachelor's Degree,5371,Single,7,1989,0,0,1,0,0,0.000183463,1,0,0,0.000446429,0,0,col,0,4,21474,1,11,16,34,24,0,6,1,2,2,3,0,1,0
Active,okay,Spain,17-03-2014,PhD,7348,Single,2,1958,0,0,0,0,0,0.000612492,1,0,0,0,0,0,col,0,5,71691,0,240,130,43,411,32,336,7,1,5,4,0,1,0
Active,okay,Germany,29-01-2014,2n Cycle,4073,Married,6,1954,0,0,1,0,0,0.000543059,1,0,0,0.000446429,0,0,col,0,6,63564,0,15,80,65,252,34,769,10,1,7,10,0,1,0
Active,okay,Spain,18-01-2014,Bachelor's Degree,1991,Together,5,1967,0,0,0,0,0,0.000383868,1,0,0,0,0,0,col,0,7,44931,0,0,0,7,11,0,78,1,1,3,2,0,0,1
Active,okay,USA,11-01-2014,PhD,4047,Married,4,1954,0,0,0,0,0,0.000558096,1,0,0,0,0,0,col,0,8,65324,0,21,0,5,102,32,384,2,3,9,6,0,0,1
Active,okay,India,11-01-2014,PhD,9477,Married,4,1954,0,0,0,0,0,0.000558096,1,0,0,0,0,0,col,0,9,65324,0,21,0,5,102,32,384,2,3,9,6,0,0,1
Active,okay,USA,27-12-2013,2n Cycle,2079,Married,1,1947,0,0,0,0,0,0.000692399,1,0,0,0,0,0,col,0,10,81044,0,73,26,26,535,98,450,6,1,10,5,0,0,0
Active,okay,Spain,09-12-2013,Master,5642,Together,4,1979,0,0,0,0,0,0.000533960,1,0,0,0,0,0,col,0,11,62499,1,0,4,4,61,13,140,1,2,6,3,0,0,0
Active,okay,India,07-12-2013,PhD,10530,Widow,1,1959,0,0,0,0,0,0.000579130,1,0,0,0,0,0,col,0,12,67786,0,80,82,102,441,20,431,6,1,6,3,0,1,0
Active,okay,Canada,16-10-2013,Bachelor's Degree,2964,Married,6,1981,0,0,0,0,0,0.000229581,1,0,0,0,0,0,col,0,13,26872,0,3,10,32,8,16,3,1,1,2,1,0,0,0
Active,okay,Spain,05-10-2013,Bachelor's Degree,10311,Married,1,1969,0,0,0,0,0,3.783061969e-05,1,0,0,0,0,0,col,0,14,4428,0,2,4,321,12,4,16,0,0,0,25,0,0,1
Active,okay,Spain,11-09-2013,Bachelor's Degree,837,Married,4,1977,0,0,0,0,0,0.000468261,1,0,0,0,0,0,col,0,15,54809,1,13,6,22,57,13,63,1,4,5,2,0,0,1
Active,okay,Spain,11-09-2013,Bachelor's Degree,10521,Married,4,1977,0,0,0,0,0,0.000468261,1,0,0,0,0,0,col,0,16,54809,1,13,6,22,57,13,63,1,4,5,2,0,1,1
Active,okay,Spain,01-08-2013,PhD,10175,Divorced,4,1958,0,0,0,0,0,0.000274870,1,0,0,0,0,0,col,0,17,32173,0,0,0,2,2,0,18,0,1,3,1,0,0,1
Active,okay,Canada,23-07-2013,2n Cycle,1473,Single,8,1960,0,0,0,0,0,0.000408576,1,0,0,0,0,0,col,0,18,47823,0,2,1,10,5,1,53,0,2,3,2,0,0,1
Active,okay,Canada,01-07-2013,Master,2795,Single,7,1958,0,0,0,0,0,0.000260773,1,0,0,0,0,0,col,0,19,30523,2,0,0,5,3,0,5,0,1,2,1,0,0,1
Active,okay,Saudi Arabia,28-05-2013,Master,2285,Together,7,1954,0,0,0,0,0,0.000312983,1,0,0,0,0,0,col,0,20,36634,0,4,9,30,76,3,213,2,3,5,5,0,0,1
Active,okay,India,26-03-2013,Master,115,Single,5,1966,0,0,0,0,0,0.000371266,1,0,0,0,0,0,col,0,21,43456,0,25,11,7,68,7,275,1,3,8,5,0,0,1
Active,okay,Germany,15-03-2013,Master,10470,Married,4,1979,0,0,0,0,0,0.000347396,1,0,0,0,0,0,col,0,22,40662,1,0,2,23,23,4,40,1,2,3,2,0,0,0
Active,okay,Spain,12-02-2013,PhD,4065,Married,7,1976,0,0,0,0,0,0.000423279,1,0,0,0,0,0,col,0,23,49544,1,0,0,23,73,0,308,1,2,8,5,0,0,0
Active,okay,India,23-11-2012,Bachelor's Degree,10968,Single,6,1969,0,0,0,0,0,0.000493225,1,0,0,0,0,0,col,0,24,57731,0,65,21,44,300,8,266,8,4,6,8,0,0,1
Active,okay,Spain,13-10-2012,Master,5985,Single,7,1965,0,0,0,0,0,0.000283371,1,0,0,0,0,0,col,0,25,33168,0,0,1,3,37,1,80,1,3,4,2,0,0,1
Active,okay,Spain,14-09-2012,Bachelor's Degree,5430,Together,8,1956,0,0,0,0,0,0.000465194,1,0,0,0,0,0,col,0,26,54450,1,8,0,32,171,19,454,2,12,8,9,0,0,1
Active,okay,Spain,14-09-2012,Bachelor's Degree,8432,Together,8,1956,0,0,0,0,0,0.000465194,1,0,0,0,0,0,col,0,27,54450,1,8,0,32,171,19,454,2,12,8,9,0,0,1
Active,okay,Spain,29-06-2014,PhD,453,Widow,5,1956,0,0,0,0,0,0.000301927,1,0,0,0,0,0,col,0,28,35340,1,0,0,5,12,1,27,0,2,3,2,1,0,1
Active,okay,Canada,31-05-2014,Bachelor's Degree,9687,Single,2,1975,0,0,0,0,0,0.000625128,1,0,0,0,0,0,col,0,29,73170,0,50,174,32,256,30,184,4,1,6,5,1,0,0
Active,okay,Spain,30-05-2014,PhD,8890,Divorced,6,1971,0,0,0,0,0,0.000562231,1,0,0,0,0,0,col,0,30,65808,1,13,7,10,80,7,155,1,3,5,5,1,0,1
Active,okay,Canada,27-04-2014,Bachelor's Degree,9264,Married,2,1986,0,0,0,0,0,0.000679456,1,0,0,0,0,0,col,0,31,79529,0,73,42,197,706,197,423,8,1,9,4,1,0,0
Active,okay,Australia,11-04-2014,PhD,5824,Together,6,1972,0,0,0,0,0,0.000295417,1,0,0,0,0,0,col,0,32,34578,2,0,0,0,1,0,7,0,1,2,1,1,0,1
Active,okay,India,17-03-2014,PhD,5794,Married,8,1974,1,0,0,1,0,0.000396196,1,0.000446429,0,0,0.000446429,0,col,0,33,46374,0,0,0,17,21,0,408,1,3,7,7,1,1,1
Active,okay,Spain,29-10-2013,Bachelor's Degree,3068,Married,7,1990,0,0,0,0,0,0.000156782,1,0,0,0,0,0,col,0,34,18351,0,0,12,7,9,14,1,0,1,3,2,1,0,0
Active,okay,Spain,09-10-2013,PhD,7962,Single,1,1987,1,0,0,0,1,0.000813076,1,0.000446429,0,0,0,0.000446429,col,0,35,95169,0,106,21,20,449,20,1285,3,1,4,4,1,1,0
Active,okay,Spain,01-08-2013,2n Cycle,2681,Married,1,1984,0,0,0,0,0,0.000558489,1,0,0,0,0,0,col,0,36,65370,0,138,22,29,112,89,71,3,1,13,2,1,0,0
Active,okay,Saudi Arabia,10-05-2013,Master,10141,Divorced,4,1960,0,0,0,0,0,0.000335144,1,0,0,0,0,0,col,0,37,39228,0,0,1,3,6,3,7,0,1,3,0,1,0,0
Active,okay,Spain,09-05-2013,PhD,3725,Single,4,1961,1,1,0,1,1,0.000725044,1,0.000446429,0.000446429,0,0.000446429,0.000446429,col,0,38,84865,0,43,16,16,349,16,1248,4,1,9,2,1,1,0
Active,okay,Spain,25-04-2013,Bachelor's Degree,3767,Married,3,1968,0,0,0,0,0,0.000523836,1,0,0,0,0,0,col,0,39,61314,0,97,0,172,189,172,378,5,2,12,5,1,0,1
Active,okay,Canada,20-04-2013,Bachelor's Degree,5585,Single,8,1972,0,0,0,0,0,0.000182481,1,0,0,0,0,0,col,0,40,21359,1,6,2,10,17,1,12,0,2,3,2,1,1,0
Active,okay,Spain,30-03-2013,PhD,7030,Married,6,1955,1,0,0,0,0,0.000567844,1,0.000446429,0,0,0,0,col,0,41,66465,0,38,0,14,204,29,1200,9,3,12,11,1,0,1
Active,okay,Spain,01-03-2013,2n Cycle,1524,Single,5,1983,1,0,0,0,0,0.000697987,1,0.000446429,0,0,0,0,col,0,42,81698,0,30,45,45,115,160,709,2,1,5,8,1,1,0
